Comment,Comment Upvote,Time
What a beautiful song  but at least once just have a glance at the lyrics and other people who contributed to this song. How beautifully they created this song.,,13 days ago (edited)
Jai Shree Ram ,,9 days ago
Proud to be a hindu️️. And this masterpiece bhajan gives automatically some different positive vibes nd thoughts ️...Jai Shree Ram!,,1 year ago (edited)
Uff ess gaane ko sunn ke dil bilkul Khushi se bhar aa jata ,1,2 weeks ago
This song has positive vibe..Jai Shree Ram,,3 weeks ago (edited)
Radhe radhe sita ram sita ram ,1,5 days ago
What a beautifully sung Bhajan. This helps me calm down quite a lot and I at this point listen to it every single day.,,2 weeks ago
 Jay Shree Ram ,1.3K,6 days ago
"कितने धन्य हैं हम जो राम मिले पूजने को
ओर कितना सौभाग्य की ये भजन मिला सुनने को",,1 year ago
My favorite song ,1,2 weeks ago
"পাড়ায় কালীপুজো তে বক্স এ বারবার চলছিল গানটি,আর সেখান থেকেই ভালোলাগা,তারপর এসে সার্চ করে শোনা,আর সেই অক্টোবর থেকে আজ ডিসেম্বর শুনেই যাচ্ছি,কি যে ভালো লাগে,প্রতিদিন শুনি",,2 weeks ago
Jay shree ram ,1,6 days ago
this song touch my heart... i'm from Bangladesh 🇧🇩..... Love from Bangladesh 🇧🇩.....,,3 weeks ago
जय श्री राम ,,17 hours ago
"राम जिनका नाम है, अयोध्या जिनका धाम है,
ऐसे रघुनंदन को, हमारा प्रणाम है,
आप सभी को
जय श्री राम...",,1 year ago
Wao ..I'm sikh but I like this bhajan...really its heart touching song.....,3,4 weeks ago
I love this song I proud of Hindu Bramhan,,2 weeks ago
Jay shree ram ,1,9 days ago
Ram siya Ram siya ️,,12 days ago
JAI SIYA RAM ,48,9 days ago
"गीता से ज्ञान मिला, रामायण से राम मिले, भाग्य से सनातन धर्म मिला और सौभाग्य: से हिंदुस्तान मिला, जय सिया राम,️️",,2 months ago (edited)
JAY SHREE RAM ... I  PROUD I AM HINDU ,4,2 weeks ago
"हृदय को छू जाता है यह भजन। जितनी बार सुनूं दिल करता है सुनता ही रहूं। 
 जय श्री राम ",,2 weeks ago
Jay shree ram ,16,6 days ago
Mind Blowing,,2 weeks ago
jai shree ram,,10 days ago
Proud to be an hinduism ️,,1 year ago
I ️ this song,,3 weeks ago
Jai Sita Ram  it's listings to   get the most peaceful,,3 weeks ago (edited)
"Never ignore a person who loves you, cares for you, misses you. Because one day, you might wake up from your sleep and realize that you lost the moon while counting the stars",1,3 weeks ago
Jay Shree  ram ..thanks my every day making a good day   ,,8 days ago
"Sign of true love- RAMSETU ️ not taj mahal...

Na kisi ki jaan li gayi...or na hi kisi ke hath kaate gaye...",,1 year ago
Mai iss song ko daily sunta hu 2-3 bar dil khus ho jate hai,,11 days ago
"कुछ दिन पहले ही ये गाना सुना, और अब हमेशा सुनता हूं. अद्भुत है ये मन को शान्ति प्रदान करता है. जय श्रीराम",6,2 weeks ago
Jai shree ram ,,7 days ago
My favourite song ️️️️️️,,2 weeks ago
Jai shree Ram  Jai hanuman ,,5 days ago
Roola dia yr️ feel the song lord ram is not just a name it's our soul,,1 year ago
जब सुनो ये नया ही लगता है ऐसी महिमा है प्रभु की ️,,2 weeks ago
गीता से ज्ञान मिला !!  रामायण से राम मिले !! भाग्य से हिंदू धर्म मिला !! किस्मत से हिंदुस्तान मिला !!   जय सियाराम.,1,1 month ago
जय श्री राम ,,8 days ago
"লিরিক্স =সাব্বির আহমেদ
এটাই আমাদের ভারতবর্ষ ️",230,2 weeks ago
Jai siyaram ️,,6 days ago
I had been atheist. Recently I was Covid+ and was in critical condition with 60-65 oxygen level and on oxygen support mostly. A friend sent me this link. I heard this song more than 100 times along with few other bhajans too. 6 out of 9 patients died in my ward but I survived. My lungs are still damaged but I am fine now and at home. I dont know how exactly it happened but I want to visit Ayodhya once and thank Ram for not just saving me but saving a father of 4 years old and an unborn baby.,,1 year ago
ONE OF THE BEST SONG IN INDIA ,,2 weeks ago (edited)
"Dusro ko sad song,love song, punjabi song pasand aata hoga apne ko to ye song sun ke dil ko sukoon milta hai️",,13 days ago
I like this song ,,2 weeks ago
Jai Shree Ram ,280,5 days ago
Ram siya ram is the true line for love ️,,11 days ago
Jai siya ram ,1,8 days ago
Goosebumps  Ram lakshaman janaki jai bolo hanuman ki,,1 year ago
Jay Shri Ram bahut Sundar prastuti Shri Ram bhajan ,5,10 days ago
,,2 weeks ago
Jai Shree Ram ji ,,7 days ago
"Such a goosebumps song ️️
जय् श्री राम ",,3 weeks ago
I love sita mata and ram ji ,1.4K,10 days ago
30 bar song sun chuka hu par bhai man nhi bharta hearts touching,,4 months ago
"Everytime I listen to it ....
It just calms me down",12,10 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ,,9 days ago
JAY SHREE RAM,4,7 days ago
"Believe me, this bhajan helps alot️",,6 days ago
I love it  ,1,5 days ago
"Proud to be a Snanatani 
Lots of love from kuwait 🇰🇼 
Jai shri ram  ",,2 months ago
"Yeah song sunke dil ko sukoon milta h... Or maano Toh es s sundar song kavhi koi Ho hi Nhi sakta....''Raam siya raam siya raam Jai Jai raam"" _ these line gives goosebumps ",4,2 weeks ago (edited)
"Lyrics written by Shabbir Ahmed... 
This is our Divine 🇮🇳",,9 days ago
"Jay shree ram 
Jay kastbhajandev ",1,9 days ago
Op songs ,,9 days ago
Jai shree ram ,2,5 days ago
"I'm cried, I remembered Gulshan ji after listening to this song. If he were today, he would have given millions of songs like this. Gulshan Kumar Ji is in our heart! JAY SHRI RAM ",,1 year ago
Jitni bar suno man hi nhu bharta kitna khubsurat song hai ️️️,284,1 month ago
"Tu hi siya ka ram, Radha ka tu hi shyam...this line has some different kind of emotion..️️",,11 days ago
जय सिया राम ,32,9 days ago
"ये गाना सुन ने से अलग ही आनंद मिलती है , जय जय श्री राम ️",,1 month ago
Jai shree ram,10,8 days ago
"इतना सुन्दर और मधुर भजन सुनकर रोम रोम प्रफुल्लित हो गया।।
जय सियाराम 
जय राधेश्याम",,1 year ago
"Why it's only 57 million viewes? 
This masterpiece (emotion) deserve 1 billion views ",12,2 weeks ago
Truely Spiritual...RAM SIYA RAM,,3 weeks ago
"जय श्री Shani Dev Maharaj
Jai siya Ram",,6 days ago
JAI SHREE RAM ️ JAI SIYA RAM  BHAKT HANUMAN JI ️,,2 weeks ago
Jai shree Ram ,20K,6 days ago
"Midnight 
Alone in room
Have earphones
Playing this song ",,1 month ago (edited)
"Shabbir Ahmed is the trump card of this song. How beautifully he has mixed the iconic chorus (mangal bhawan amangal hari...) with his wonderful, deep lyrics. Maza hi aa jata hai ye gana sunn ke!",8,1 month ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,3 weeks ago
Jai shree Ram ,11,7 days ago
Dil ko chu leya es gane ne️️️️️️️️️️,,2 weeks ago
Jai shree Ram ,,7 days ago
"Disclaimer : This is not a song , it is emotions ️",,1 year ago
"ह्रदय को असली वाला सुकून इस भजन से मिलता है,,बिलकुल अमृत समान है ये ️️️


जय श्री राम ",,8 days ago
"Ye Bhajan Kitani bar suun lu maja hi aata hai
Jai Shri Ram ",,2 weeks ago
Jai shree Ram ,1,8 days ago
I am sikh but i feel good to listen this it gives me positively jai shree ram,,1 month ago
Jai Shree Ram ,394,5 days ago
"पता नही क्यों, रोना आ गया। श्री राम की भक्ति में इतना खो गया। T-series को आभार!",,1 year ago
The need of hour is that our young generation should grow by listening these songs and have eternal faith in Lord RAM.JAI SHRI RAM.,12,9 days ago
Kitna pyara Bhajan hai ,,8 days ago
RAKSHA KARNA PRABHU ️,7,22 hours ago
"बार बार सुनता हूं आखिर कर मन हल्का हो जाता है
गर्व है हम हिन्दू है 
गर्व से कहो हम हिन्दू है",,2 weeks ago
Singing ,1,7 days ago
"युवाओं में हिंदुत्व की रूचि बढ रही है, ये भारत के भविष्य के लिए अच्छे संकेत है ..!! 
जय श्री राम ",,1 year ago
"Whoever reading this comment, I really hope you find peace and strength to live through the day. Whatever you're going through right now, I promise it'll be okay.",5,3 weeks ago
"Love from Rajasthan
Very beautiful song
Proude to be a hindu
JAI SHREE RAM",,7 days ago (edited)
Jay shree Ram ,,6 days ago
Jai bajrangbali ️️,,3 weeks ago
Jai shree Ram ,625,5 days ago
"ये समय बहुत बुरा चल रहा है पर प्रभु पर पूर्ण विश्वास है इसलिए ये गीत सुन के बहुत सुकून मिलता है 
जय जय श्री राम ️",,7 months ago
After listen ram siya ram I felt piecefull Jai siya ram,11,1 month ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,3 weeks ago
Jai shree ram ,,8 days ago
Best bhakti song,,11 days ago
"Jai sree ram ,,",6,8 days ago
Proud to be Hindu  Jai siya ram,,1 year ago
"सनातन के स्वर सुनकर दिल खुश हो जाता है
जय श्री राम ",1,6 days ago
I have listen this song 1000 times but the tune is set in my mind,,3 weeks ago
Jai siya ram ,4,6 days ago
Jai Shri Ram  Jai Raghunadan  Peaceful ️ Song Jai Shri Bajrangbali GRam Siya Ram  Siya Ram Jai Jai Ram  ️️,,2 weeks ago (edited)
"Kl mera pre board(class 10)hai aur darr lag raha tha isliye ye gana suna, aur isse pehele mahabharat ka gana suna for motivation. 
Sach mein dil ko tasalli mili.",,5 days ago
"मैं अयोध्या धाम से आप सभी श्री राम भक्तों को सादर प्रणाम करता हूँ।
जय सियाराम",,1 year ago
"Priceless song Ever️️️️️
Jai Siya Ram ️",736,3 weeks ago
"I don't know why whenever I listen to this song I cry....

JAI SHIYA RAM",,3 weeks ago
Jai siyaram,,7 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jai shree ram ,47,9 days ago
In Love With This Song Din Me Kamse Kam 100 Baar Sunta Hu  Jab Jab Comment Pe Like Aayega Tab Tab Firse Sunne Aaunga  Jai Siya Ram ,,1 month ago (edited)
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
"I AM PROUD TO BE A HINDU.......️️️JAI SIYA RAM .....
...ONE OF MY FAVOURITE SONG ️",,7 days ago
Jai shree ram ,5,9 days ago
"I am just fan of this melodies voice,pure devotional song",,1 month ago
Jay shree ram,,6 days ago
